record_number,name,birth_year,death_year,details,active_date,title,technique,medium
b13015072,"Copley, John Singleton",1738,1815,attributed to,,Captain David Forbes.,painting,None
b11296471,"Copley, John Singleton",1738,1815,attributed to,,Sir William Smyth.,painting,None
b11303712,"Copley, John Singleton",1738,1815,attributed to,,Portrait of a Gentleman.,painting,None
b13015151,"Copley, John Singleton",1738,1815,attributed to,,"Portrait of the Reverend Samuel Cooper (1725-1783), Pastor of Brattle Square Church, Boston.",painting,oil on canvas.
b13015308,"Copley, John Singleton",1738,1815,attributed to,,Portrait of a Lady.,painting,oil on canvas.
b13015655,"Copley, John Singleton",1738,1815,attributed to,,Miss Livingston of New York.,painting,oil on canvas.
b13015783,"Copley, John Singleton",1738,1815,attributed to,,Mrs. Henry Vassall (Penelope Royall).,painting,oil on canvas.
b13015795,"Copley, John Singleton",1738,1815,attributed to,,Portrait of a Lady.,painting,oil on canvas.
b13014559,"Copley, John Singleton",1738,1815,contributor,,Sir Edward Berry.,painting,oil on canvas.
b13014729,"Copley, John Singleton",1738,1815,contributor,,"George Cooke, Baronet.",painting,None
b11621631,"Copley, John Singleton",1738,1815,"attributed to, copy of",,William Ludlow.,painting,oil on canvas.
b11621692,"Copley, John Singleton",1738,1815,"attributed to, copy of",,Mrs. William Ludlow (Mary Duncan).,painting,oil on canvas.
b11021822,"Copley, John Singleton",1738,1815,copy of,,General Thomas Gage.,drawing,pastel.
b13016295,"Copley, John Singleton",1738,1815,copy of,,Rev. Edward Holyoke.,drawing,pastel.
b13017160,"Copley, John Singleton",1738,1815,copy of,,Dr. Alexander Shearer.,miniature,None
b10785206,"Copley, John Singleton",1738,1815,copy of,,Mrs. George Watson (Elizabeth Oliver).,miniature,None
b10994415,"Copley, John Singleton",1738,1815,copy of,,Mrs. Daniel Denison Rogers (Abigail Bromfield).,miniature,ivory.
b13013944,"Copley, John Singleton",1738,1815,copy of,,John Adams.,painting,oil on canvas.
b12041427,"Copley, John Singleton",1738,1815,copy of,,Major General de la Motte.,painting,oil on canvas.
b10798328,"Copley, John Singleton",1738,1815,copy of,,Henry White.,painting,oil on canvas.
b11983681,"Copley, John Singleton",1738,1815,copy of,,Member of the Taylor Family.,painting,None
b13014821,"Copley, John Singleton",1738,1815,copy of,,Samuel Adams.,painting,oil on panel.
b10787148,"Copley, John Singleton",1738,1815,copy of,,Samuel Cooper.,painting,oil on canvas.
b13015023,"Copley, John Singleton",1738,1815,copy of,,Samuel Cooper.,painting,oil on canvas.
b10776497,"Copley, John Singleton",1738,1815,copy of,,"Joseph Sewall, D.D.",painting,None
b13015096,"Copley, John Singleton",1738,1815,copy of,,Samuel Pitts.,painting,oil on canvas.
b12062364,"Copley, John Singleton",1738,1815,copy of,,Major General William Brattle.,painting,oil on canvas.
b1201722x,"Copley, John Singleton",1738,1815,copy of,,Joseph Green.,painting,None
b11297797,"Copley, John Singleton",1738,1815,copy of,,Mrs. Seymour Fort.,painting,oil on canvas.
b13015710,"Copley, John Singleton",1738,1815,copy of,,Mrs. Gawen Brown (Elizabeth Byles).,painting,oil on canvas.
b13016118,"Copley, John Singleton",1738,1815,None,,Portrait of a Gentleman.,drawing,pastel on dark paper.
b11849058,"Copley, John Singleton",1738,1815,None,,Portrait of a Gentleman.,drawing,pastel.
b11762019,"Copley, John Singleton",1738,1815,None,,Portrait of a Lady.,drawing,pastel on paper.
b11857766,"Copley, John Singleton",1738,1815,None,,"Portrait Study of William Pitt, the Younger.",drawing,"gray wash, with pen, gray ink, and black chalk on paper."
b13016519,"Copley, John Singleton",1738,1815,None,,Mary Winthrop Phillips.,drawing,pastel.
b13016520,"Copley, John Singleton",1738,1815,None,,Portrait of a Young Boy.,drawing,pencil and pastel on buff paper.
b13016532,"Copley, John Singleton",1738,1815,None,,Master Winslow.,drawing,pastel on paper.
b13016544,"Copley, John Singleton",1738,1815,None,,John Tyng Tyler.,drawing,pastel on paper mounted on canvas.
b13016556,"Copley, John Singleton",1738,1815,None,,"Study for Sir William Pepperrell, Baronet, and His Wife, Son and Three Daughters.",drawing,None
b13016064,"Copley, John Singleton",1738,1815,None,,Captain Maitland Standing by His Horse.,drawing,wash drawing.
b13016076,"Copley, John Singleton",1738,1815,None,,Lord Heathfield on Horseback.,drawing,"black chalk, white charcoal on blue paper."
b13016088,"Copley, John Singleton",1738,1815,None,,"Study for Major Hugh Montgomerie, 12th Earl of Eglinton.",drawing,black and white chalk on pink-buff paper.
b1301609x,"Copley, John Singleton",1738,1815,None,,"Study for Major Hugh Montgomerie, 12th Earl of Eglinton.",drawing,black and white chalk on blue-gray paper.
b13016106,"Copley, John Singleton",1738,1815,None,,Portrait of Joseph Barrell.,drawing,pastel.
b1301612x,"Copley, John Singleton",1738,1815,None,,William Turner.,drawing,crayon.
b12007961,"Copley, John Singleton",1738,1815,None,,Theodore Atkinson (?).,drawing,pastel.
b11021871,"Copley, John Singleton",1738,1815,None,,Henry Hill.,drawing,pastel.
b10994543,"Copley, John Singleton",1738,1815,None,,Jonathan Jackson.,drawing,pastel.
b13016131,"Copley, John Singleton",1738,1815,None,,Jonathan Jackson.,drawing,None
b13016143,"Copley, John Singleton",1738,1815,None,,Joseph Greene.,drawing,None
b13016155,"Copley, John Singleton",1738,1815,None,,Joshua Winslow.,drawing,pastel on paper.
b13016167,"Copley, John Singleton",1738,1815,None,,Henry Pelham.,drawing,pastel on blue paper.
b13016179,"Copley, John Singleton",1738,1815,None,,Joseph Green.,drawing,pastel on paper mounted on canvas.
b10798511,"Copley, John Singleton",1738,1815,None,,Sir John Wentworth.,drawing,pastel.
b11899219,"Copley, John Singleton",1738,1815,None,,Thomas Amory.,drawing,pastel on paper mounted on canvas.
b11672201,"Copley, John Singleton",1738,1815,None,,Reverend John Murray.,drawing,pastel.
b13016180,"Copley, John Singleton",1738,1815,None,,Peter Chardon.,drawing,pastel on paper.
b13016192,"Copley, John Singleton",1738,1815,None,,Richard Ward.,drawing,pastel.
b13016209,"Copley, John Singleton",1738,1815,None,,John Scollay.,drawing,None
b13016210,"Copley, John Singleton",1738,1815,None,,Hugh Hall.,drawing,pastel.
b11548496,"Copley, John Singleton",1738,1815,None,,"Ebenezer Storer, Sr.",drawing,"pastel on laid paper, mounted on canvas."
b13016222,"Copley, John Singleton",1738,1815,None,,Colonel Small.,drawing,pastel.
b13016234,"Copley, John Singleton",1738,1815,None,,Joseph Green.,drawing,pastel.
b13016246,"Copley, John Singleton",1738,1815,None,,Portrait of a Gentleman.,drawing,None
b13016258,"Copley, John Singleton",1738,1815,None,,Portrait of a Gentleman.,drawing,None
b1301626x,"Copley, John Singleton",1738,1815,None,,Sir John Temple.,drawing,pastel.
b13016271,"Copley, John Singleton",1738,1815,None,,Thomas Hancock.,drawing,pastel.
b11894027,"Copley, John Singleton",1738,1815,None,,"Ebenezer Storer, Jr.",drawing,pastel.
b11023697,"Copley, John Singleton",1738,1815,None,,Reverend William Smith.,drawing,pastel on paper.
b13016283,"Copley, John Singleton",1738,1815,None,,Male Portrait.,drawing,None
b11011828,"Copley, John Singleton",1738,1815,None,,John Singleton Copley.,drawing,pastel on paper mounted on canvas.
b10798493,"Copley, John Singleton",1738,1815,None,,Sir John Wentworth.,drawing,pastel.
b13016313,"Copley, John Singleton",1738,1815,None,,Charles Apthorp.,drawing,pastel.
b13016325,"Copley, John Singleton",1738,1815,None,,Dr. Miles Whitworth.,drawing,pastel.
b12016421,"Copley, John Singleton",1738,1815,None,,Mrs. Joseph Henshaw (Sarah Henshaw).,drawing,pastel on paper.
b13016349,"Copley, John Singleton",1738,1815,None,,Mrs. Henry Hill (Anna Barrett).,drawing,pastel on paper mounted on linen.
b13016350,"Copley, John Singleton",1738,1815,None,,Mrs. Gawen Brown (Elizabeth Blyes).,drawing,pastel.
b13016362,"Copley, John Singleton",1738,1815,None,,Mrs. Joseph Barrell (Anna Pierce).,drawing,pastel on paper pasted on canvas.
b1103063x,"Copley, John Singleton",1738,1815,None,,Mrs. Joseph Barrell (Anna Pierce).,drawing,pastel.
b10978082,"Copley, John Singleton",1738,1815,None,,Mrs. Lewis Jenkins (Rebeckah Hooper).,drawing,pastel.
b11452079,"Copley, John Singleton",1738,1815,None,,Mrs. Joseph Barrell (Hannah Fitch).,drawing,pastel on paper mounted on canvas.
b1101183x,"Copley, John Singleton",1738,1815,None,,Mrs. John Singleton Copley (Susannah Farham Clarke).,drawing,pastel.
b13016374,"Copley, John Singleton",1738,1815,None,,Mary Storer Green.,drawing,"pastel on laid paper, mounted on canvas."
b13016386,"Copley, John Singleton",1738,1815,None,,Mrs. Joseph Green.,drawing,pastel on paper mounted on canvas.
b12072370,"Copley, John Singleton",1738,1815,None,,Mrs. Moses Gill (Sarah Prince).,drawing,pastel on linen.
b11452304,"Copley, John Singleton",1738,1815,None,,Mrs. Samuel Henley (Katherine Russell).,drawing,pastel on paper mounted on canvas.
b13016398,"Copley, John Singleton",1738,1815,None,,Mrs. Jonathan Warner (Elizabeth Pitts).,drawing,"pastel on paper, mounted on wood panel."
b13016404,"Copley, John Singleton",1738,1815,None,,Mrs. Thomas Hancock (Lydia Henchman).,drawing,pastel on paper.
b13016416,"Copley, John Singleton",1738,1815,None,,Mrs. William Turner (Ann Dumaresq).,drawing,pastel.
b11880466,"Copley, John Singleton",1738,1815,None,,"Mrs. Ebenezer Storer, Jr. (Elizabeth Green).",drawing,pastel.
b11548460,"Copley, John Singleton",1738,1815,None,,"Mrs. Ebenezer Storer, Sr. (Mary Edwards).",drawing,"pastel on laid paper, mounted on canvas."
b13016428,"Copley, John Singleton",1738,1815,None,,Mrs. Gregory Townsend (Lucretia Hubbard).,drawing,pastel.
b1301643x,"Copley, John Singleton",1738,1815,None,,Ann Powell (Mrs. Isaac Winslow Clark).,drawing,pastel.
b13016441,"Copley, John Singleton",1738,1815,None,,Mrs. Joseph Greene (Mary Greene).,drawing,pastel.
b13016453,"Copley, John Singleton",1738,1815,None,,Lady Temple (Elizabeth Bowdoin).,drawing,pastel.
b13016465,"Copley, John Singleton",1738,1815,None,,Deborah Whitworth (Mrs. Gideon White).,drawing,pastel.
b13016477,"Copley, John Singleton",1738,1815,None,,Mrs. Joseph Sayer Hixon (Abigail Cooper).,drawing,pastel.
b13016489,"Copley, John Singleton",1738,1815,None,,Mrs. John Scollay (Mercy Greenleaf).,drawing,"black and white and colored chalks, and brown ink on buff laid paper mounted to board."
b13016490,"Copley, John Singleton",1738,1815,None,,"Mrs. Ebenezer Storer, Sr. (Mary Edwards).",drawing,pastel on paper mounted on canvas.
b13016507,"Copley, John Singleton",1738,1815,None,,Mrs. Joshua Winslow (Hannah Loring).,drawing,pastel on paper.
b11667552,"Copley, John Singleton",1738,1815,None,,Child with Doves.,painting,oil on canvas.
b11300620,"Copley, John Singleton",1738,1815,None,,A Mother and Sleeping Child.,painting,oil on canvas.
b10231663,"Copley, John Singleton",1738,1815,None,,Head of a Negro.,painting,oil on canvas.
b13017135,"Copley, John Singleton",1738,1815,None,,John Adams.,miniature,None
b13017159,"Copley, John Singleton",1738,1815,None,,Captain Cooper.,miniature,None
b10994555,"Copley, John Singleton",1738,1815,None,,Mr. Morris.,miniature,None
b13017172,"Copley, John Singleton",1738,1815,None,,Judge Samuel Danforth.,miniature,on copper.
b13017184,"Copley, John Singleton",1738,1815,None,,Self Portrait.,miniature,watercolor on porcelain.
b13017196,"Copley, John Singleton",1738,1815,None,,The Reverend Samuel Fayerweather.,miniature,oil on gold-leafed copper.
b10785231,"Copley, John Singleton",1738,1815,None,,"Andrew Oliver, Jr.",miniature,on copper.
b13017202,"Copley, John Singleton",1738,1815,None,,A Young Man.,miniature,None
b13017214,"Copley, John Singleton",1738,1815,None,,Colonel Jeremiah Lee.,miniature,watercolor on ivory.
b13017226,"Copley, John Singleton",1738,1815,None,,Samuel Cary.,miniature,None
b10787112,"Copley, John Singleton",1738,1815,None,,Lieutenant Governor Andrew Oliver.,miniature,on copper.
b13017238,"Copley, John Singleton",1738,1815,None,,Self-Portrait.,miniature,watercolor on ivory.
b11815607,"Copley, John Singleton",1738,1815,None,,Sir John St. Clair.,miniature,copper (?).
b1301724x,"Copley, John Singleton",1738,1815,None,,Colonel Jeremiah Lee.,miniature,None
b13017251,"Copley, John Singleton",1738,1815,None,,Barnabas Deane.,miniature,None
b13017263,"Copley, John Singleton",1738,1815,None,,Joseph Blake.,miniature,on copper.
b1099368x,"Copley, John Singleton",1738,1815,None,,Thomas Hancock.,miniature,oil on copper.
b13017275,"Copley, John Singleton",1738,1815,None,,Henry Marchant.,miniature,None
b13017299,"Copley, John Singleton",1738,1815,None,,Joseph Hooper (?).,miniature,watercolor on ivory.
b13017305,"Copley, John Singleton",1738,1815,None,,Jeremiah Lee.,miniature,None
b13017329,"Copley, John Singleton",1738,1815,None,,Nathaniel Hurd.,miniature,on copper.
b10798481,"Copley, John Singleton",1738,1815,None,,Peter Oliver.,miniature,on copper.
b10766704,"Copley, John Singleton",1738,1815,None,,Andrew Oliver.,miniature,on copper.
b12113232,"Copley, John Singleton",1738,1815,None,,Constant Freeman.,miniature,ivory.
b11245645,"Copley, John Singleton",1738,1815,None,,George Green.,miniature,oil on copper.
b10787124,"Copley, John Singleton",1738,1815,None,,Portrait Thought to Represent Henry Pelham.,miniature,watercolor on ivory.
b10909357,"Copley, John Singleton",1738,1815,None,,Miniature Portrait Thought to Represent Peter Boylston Adams.,miniature,oil on copper.
b13017330,"Copley, John Singleton",1738,1815,None,,Robert Chamblett Hooper.,miniature,watercolor on ivory.
b11672134,"Copley, John Singleton",1738,1815,None,,Mrs. Lewis Jenkins (Rebeckah Hooper).,miniature,ivory.
b13017342,"Copley, John Singleton",1738,1815,None,,Deborah Scollay (Mrs. John Melville).,miniature,on ivory
b10993666,"Copley, John Singleton",1738,1815,None,,Mrs. Thomas Hancock (Lydia Henchman).,miniature,oil on copper.
b13017354,"Copley, John Singleton",1738,1815,None,,Mrs. Samuel Cary (Sarah Gray).,miniature,on ivory.
b1078519x,"Copley, John Singleton",1738,1815,None,,Mrs. Andrew Oliver (Mary Sanford).,miniature,miniature on copper.
b13017366,"Copley, John Singleton",1738,1815,None,,Mrs. Henry Marchant (Rebecca Cooke).,miniature,oil on copper.
b10785176,"Copley, John Singleton",1738,1815,None,,Mrs. Samuel Waldo (Griselda Oliver).,miniature,None
b13017378,"Copley, John Singleton",1738,1815,None,,Lady with a Pearl Necklace.,miniature,None
b13015850,"Copley, John Singleton",1738,1815,None,,Master Hancock.,painting,oil on canvas.
b13015862,"Copley, John Singleton",1738,1815,None,,Daniel Crommelin Verplanck.,painting,oil on canvas.
b13015874,"Copley, John Singleton",1738,1815,None,,Jonathan Mountfort.,painting,oil on canvas.
b13015886,"Copley, John Singleton",1738,1815,None,,A Boy with a Flying Squirrel (Henry Pelham).,painting,oil on canvas.
b11787557,"Copley, John Singleton",1738,1815,None,,John Bee Holmes.,painting,oil on canvas.
b11636853,"Copley, John Singleton",1738,1815,None,,Henry Pelham.,painting,oil on canvas.
b10231547,"Copley, John Singleton",1738,1815,None,,Master Augustus Brine.,painting,oil on canvas.
b11256527,"Copley, John Singleton",1738,1815,None,,Thomas Aston Coffin.,painting,oil on canvas.
b10978136,"Copley, John Singleton",1738,1815,None,,Lord Lyndhurst.,painting,watercolor on paper.
b11997412,"Copley, John Singleton",1738,1815,None,,Portrait Thought to Represent the Eldest Son of Captain Benjamin Beale.,painting,oil on canvas.
b13015904,"Copley, John Singleton",1738,1815,None,,John Greenleaf.,painting,None
b11256333,"Copley, John Singleton",1738,1815,None,,Mary Elizabeth Martin.,painting,oil on canvas.
b13015916,"Copley, John Singleton",1738,1815,None,,Susannah Copley.,painting,oil on canvas.
b10936531,"Copley, John Singleton",1738,1815,None,,"Portrait of a Young Lady, with a Bird and Dog.",painting,oil on canvas.
b13015928,"Copley, John Singleton",1738,1815,None,,Priscilla Greenleaf.,painting,None
b13015941,"Copley, John Singleton",1738,1815,None,,Mary Knatchbull.,painting,oil on canvas.
b13015953,"Copley, John Singleton",1738,1815,None,,Little Girl with Grapes.,painting,oil on canvas.
b13015965,"Copley, John Singleton",1738,1815,None,,Elizabeth Greenleaf.,painting,oil on canvas.
b13014018,"Copley, John Singleton",1738,1815,None,,Equestrian Portrait of the Prince Regent.,painting,oil on canvas.
b11296707,"Copley, John Singleton",1738,1815,None,,Equestrian Portrait of the Prince Regent.,painting,None
b13013877,"Copley, John Singleton",1738,1815,None,,Henry Laurens.,painting,oil on canvas.
b13013889,"Copley, John Singleton",1738,1815,None,,Portrait of the Earl of Mansfield.,painting,oil on canvas.
b13013890,"Copley, John Singleton",1738,1815,None,,Thomas Hancock.,painting,None
b13013907,"Copley, John Singleton",1738,1815,None,,Col. Jeremiah Lee.,painting,oil on canvas.
b13013919,"Copley, John Singleton",1738,1815,None,,Thomas Hollis.,painting,oil on canvas.
b13013920,"Copley, John Singleton",1738,1815,None,,Nicholas Boylston.,painting,None
b13013932,"Copley, John Singleton",1738,1815,None,,Brass Crosby.,painting,oil on canvas.
b11491966,"Copley, John Singleton",1738,1815,None,,Sir John Temple.,painting,oil on canvas.
b10903768,"Copley, John Singleton",1738,1815,None,,Robert Wilmot.,painting,oil on canvas.
b13013968,"Copley, John Singleton",1738,1815,None,,Col. Nathaniel Sparhawk.,painting,None
b1301397x,"Copley, John Singleton",1738,1815,None,,"Hugh Montgomerie, Earl of Eglinton.",painting,oil on canvas.
b13013981,"Copley, John Singleton",1738,1815,None,,Major Patrick Campbell of Barcaldine.,painting,None
b13013993,"Copley, John Singleton",1738,1815,None,,Lord Addington.,painting,oil on canvas.
b11333789,"Copley, John Singleton",1738,1815,None,,John Adams.,painting,oil on canvas.
b11338179,"Copley, John Singleton",1738,1815,None,,Major Patrick Campbell.,painting,None
b13014006,"Copley, John Singleton",1738,1815,None,,"Sir Edward Knatchbull, Bt.",painting,oil on canvas.
b10939593,"Copley, John Singleton",1738,1815,None,,"Hugh Montgomerie, 12th Earl of Eglinton.",painting,oil on canvas.
b1301402x,"Copley, John Singleton",1738,1815,None,,Thomas Lewis.,painting,oil on canvas.
b11338830,"Copley, John Singleton",1738,1815,None,,Gulian Verplanck.,painting,oil on canvas.
b13014481,"Copley, John Singleton",1738,1815,None,,James Murray (1713-1791).,painting,oil on canvas.
b13014493,"Copley, John Singleton",1738,1815,None,,Sir Joseph Banks.,painting,None
b1301450x,"Copley, John Singleton",1738,1815,None,,Colonel Thomas Marshall.,painting,None
b11491838,"Copley, John Singleton",1738,1815,None,,John Gardiner.,painting,oil on canvas.
b11547832,"Copley, John Singleton",1738,1815,None,,The Rev. Thomas Cary.,painting,oil on canvas.
b13014511,"Copley, John Singleton",1738,1815,None,,John Barrett.,painting,oil on canvas.
b13014523,"Copley, John Singleton",1738,1815,None,,Dr. Martin.,painting,None
b11530455,"Copley, John Singleton",1738,1815,None,,George Watson.,painting,oil on canvas.
b13014535,"Copley, John Singleton",1738,1815,None,,John Greene.,painting,None
b13014547,"Copley, John Singleton",1738,1815,None,,Governor Moses Gill.,painting,oil on canvas.
b10236028,"Copley, John Singleton",1738,1815,None,,Sir Robert Graham.,painting,oil on canvas.
b11548502,"Copley, John Singleton",1738,1815,None,,John Douglas.,painting,None
b13014560,"Copley, John Singleton",1738,1815,None,,Captain Maitland.,painting,None
b13014572,"Copley, John Singleton",1738,1815,None,,John Codman.,painting,None
b13014584,"Copley, John Singleton",1738,1815,None,,General Joseph Warren.,painting,oil on canvas.
b1179740x,"Copley, John Singleton",1738,1815,None,,Dr. George Arnold.,painting,oil on canvas.
b11894064,"Copley, John Singleton",1738,1815,None,,Henry Laurens.,painting,oil on canvas.
b11022929,"Copley, John Singleton",1738,1815,None,,Reverend Daniel Greenleaf.,painting,oil on canvas.
b13014596,"Copley, John Singleton",1738,1815,None,,Nathaniel Perkins.,painting,None
b10528738,"Copley, John Singleton",1738,1815,None,,Dr. Sylvester Gardiner.,painting,oil on canvas.
b13014602,"Copley, John Singleton",1738,1815,None,,Benjamin Hallowell.,painting,oil on canvas.
b13014614,"Copley, John Singleton",1738,1815,None,,Mather Byles.,painting,oil on canvas.
b13014626,"Copley, John Singleton",1738,1815,None,,"Jonathan Belcher, Jr.",painting,oil on canvas.
b11997370,"Copley, John Singleton",1738,1815,None,,Captain Benjamin Beale.,painting,oil on canvas.
b13014638,"Copley, John Singleton",1738,1815,None,,John Burgwin.,painting,oil on canvas.
b11667576,"Copley, John Singleton",1738,1815,None,,Portrait of a Cleric.,painting,oil on canvas.
b13014031,"Copley, John Singleton",1738,1815,None,,Judge Martin Howard.,painting,None
b11338180,"Copley, John Singleton",1738,1815,None,,Epes Sargent.,painting,oil on canvas.
b13014043,"Copley, John Singleton",1738,1815,None,,Portrait of John Wentworth.,painting,None
b13014067,"Copley, John Singleton",1738,1815,None,,John Gray.,painting,oil on canvas.
b13014079,"Copley, John Singleton",1738,1815,None,,"Prof. John WInthrop, L.L.D.? F.R.S.",painting,oil on canvas.
b13014080,"Copley, John Singleton",1738,1815,None,,Samuel Winthrop.,painting,oil on canvas.
b13014092,"Copley, John Singleton",1738,1815,None,,Rev. Edward Holyoke.,painting,oil on canvas.
b13014109,"Copley, John Singleton",1738,1815,None,,Rev. Nathaniel Appleton.,painting,oil on canvas.
b10798365,"Copley, John Singleton",1738,1815,None,,Adam Babcock.,painting,oil on canvas.
b13014110,"Copley, John Singleton",1738,1815,None,,General James Warren (1726-1808).,painting,oil on canvas.
b13014122,"Copley, John Singleton",1738,1815,None,,Samuel Quincy.,painting,oil on canvas.
b13014134,"Copley, John Singleton",1738,1815,None,,John Scollay.,painting,oil on canvas.
b13014146,"Copley, John Singleton",1738,1815,None,,Lord Fauconberg.,painting,None
b13014158,"Copley, John Singleton",1738,1815,None,,Harrison Gray.,painting,oil on canvas.
b1301416x,"Copley, John Singleton",1738,1815,None,,Dr. John Ogilvie.,painting,None
b11787806,"Copley, John Singleton",1738,1815,None,,"Sir Brook Watson, Lord Mayor of London.",painting,None
b13014171,"Copley, John Singleton",1738,1815,None,,Samuel Adams.,painting,oil on canvas.
b10798390,"Copley, John Singleton",1738,1815,None,,Richard Dana.,painting,oil on canvas.
b11491875,"Copley, John Singleton",1738,1815,None,,Josiah Quincy.,painting,oil on canvas.
b11546888,"Copley, John Singleton",1738,1815,None,,Charles Pelham.,painting,oil on canvas.
b13014183,"Copley, John Singleton",1738,1815,None,,Colonel Benjamin Pickerman.,painting,oil on canvas.
b1079847x,"Copley, John Singleton",1738,1815,None,,Portrait of an Engraver.,painting,oil on canvas.
b13014195,"Copley, John Singleton",1738,1815,None,,John Murray.,painting,oil on canvas.
b13014201,"Copley, John Singleton",1738,1815,None,,"Epes Sargent, Jr.",painting,oil on canvas.
b13014213,"Copley, John Singleton",1738,1815,None,,Lord Charles Cornwallis.,painting,None
b11958972,"Copley, John Singleton",1738,1815,None,,Colonel Thaddeus Burr.,painting,oil on canvas.
b10942580,"Copley, John Singleton",1738,1815,None,,Timothy Folger.,painting,oil on canvas.
b10798468,"Copley, John Singleton",1738,1815,None,,Henry Pelham.,painting,oil on canvas.
b11898938,"Copley, John Singleton",1738,1815,None,,John Amory.,painting,oil on canvas.
b13014225,"Copley, John Singleton",1738,1815,None,,John Bours.,painting,oil on canvas.
b13014249,"Copley, John Singleton",1738,1815,None,,Gilbert De Blois.,painting,oil on canvas.
b13014250,"Copley, John Singleton",1738,1815,None,,Portrait Said to Represent Daniel Rogers.,painting,oil on canvas.
b11896498,"Copley, John Singleton",1738,1815,None,,"Benjamin Blackstone, Jr.",painting,oil on canvas.
b13014262,"Copley, John Singleton",1738,1815,None,,Thomas Amory.,painting,oil on canvas.
b13014274,"Copley, John Singleton",1738,1815,None,,"Robert Hooper, Jr.",painting,oil on canvas.
b11338441,"Copley, John Singleton",1738,1815,None,,Daniel Hubbard.,painting,oil on canvas.
b10569388,"Copley, John Singleton",1738,1815,None,,Thomas Greene.,painting,oil on canvas.
b13014286,"Copley, John Singleton",1738,1815,None,,John Erving.,painting,oil on canvas.
b11338544,"Copley, John Singleton",1738,1815,None,,Isaac Smith.,painting,oil on canvas.
b13014298,"Copley, John Singleton",1738,1815,None,,Thomas William Vawdrey.,painting,oil on canvas.
b13014304,"Copley, John Singleton",1738,1815,None,,Captain Thomas Graves.,painting,oil on canvas.
b13014316,"Copley, John Singleton",1738,1815,None,,John Lane (?).,painting,oil on canvas.
b13014328,"Copley, John Singleton",1738,1815,None,,Squire Hyde of Hyde.,painting,oil on canvas.
b1301433x,"Copley, John Singleton",1738,1815,None,,Richard Codman.,painting,None
b13014341,"Copley, John Singleton",1738,1815,None,,Mr. Joseph Hooper.,painting,oil on canvas.
b13014353,"Copley, John Singleton",1738,1815,None,,General Thomas Gage.,painting,oil on canvas.
b13014365,"Copley, John Singleton",1738,1815,None,,Robert Chamblett Hooper.,painting,oil on canvas.
b13014377,"Copley, John Singleton",1738,1815,None,,Ezekiel Goldthwait.,painting,None
b13014389,"Copley, John Singleton",1738,1815,None,,James Otis.,painting,oil on canvas.
b13014390,"Copley, John Singleton",1738,1815,None,,Charles 1st Marquis Cornwallis.,painting,oil on canvas.
b11338672,"Copley, John Singleton",1738,1815,None,,Paul Revere.,painting,oil on canvas.
b13014407,"Copley, John Singleton",1738,1815,None,,Gentleman in a Brown Suit.,painting,oil on canvas.
b13014419,"Copley, John Singleton",1738,1815,None,,Lemuel Cox.,painting,oil on canvas.
b13014420,"Copley, John Singleton",1738,1815,None,,Lord Fauconberg.,painting,None
b1099452x,"Copley, John Singleton",1738,1815,None,,Honorable Benjamin Gerrish.,painting,oil on canvas.
b11995440,"Copley, John Singleton",1738,1815,None,,Gabriel George Ludlow.,painting,oil on canvas.
b13014432,"Copley, John Singleton",1738,1815,None,,Isaac Royall.,painting,oil on canvas.
b10450142,"Copley, John Singleton",1738,1815,None,,Woodbury Langdon.,painting,oil on canvas.
b13014444,"Copley, John Singleton",1738,1815,None,,John Codman.,painting,None
b12014862,"Copley, John Singleton",1738,1815,None,,Nathaniel Allen.,painting,oil on canvas.
b13014456,"Copley, John Singleton",1738,1815,None,,Joseph Scott.,painting,oil on canvas.
b11997576,"Copley, John Singleton",1738,1815,None,,Samuel Phillips Savage.,painting,oil on canvas.
b11338738,"Copley, John Singleton",1738,1815,None,,Joshua Henshaw.,painting,oil on canvas.
b11338829,"Copley, John Singleton",1738,1815,None,,John Hancock.,painting,oil on canvas.
b13014468,"Copley, John Singleton",1738,1815,None,,John Andrew Graham.,painting,oil on canvas.
b10700985,"Copley, John Singleton",1738,1815,None,,John Loring.,painting,oil on canvas.
b1301447x,"Copley, John Singleton",1738,1815,None,,Portrait of a Man.,painting,oil on canvas.
b11325227,"Copley, John Singleton",1738,1815,None,,Nathaniel Hurd.,painting,oil on canvas.
b10235115,"Copley, John Singleton",1738,1815,None,,Admiral Clark Gayton.,painting,oil on canvas.
b1024105x,"Copley, John Singleton",1738,1815,None,,Elkanah Watson.,painting,oil on canvas.
b11325215,"Copley, John Singleton",1738,1815,None,,Lieutenant Joshua Winslow.,painting,oil on canvas.
b13014651,"Copley, John Singleton",1738,1815,None,,Nicholas Boylston.,painting,oil on canvas.
b13014663,"Copley, John Singleton",1738,1815,None,,Thomas Hubbard.,painting,None
b11446985,"Copley, John Singleton",1738,1815,None,,Governor George Scott.,painting,oil on canvas.
b13014675,"Copley, John Singleton",1738,1815,None,,Thomas Boylston.,painting,oil on canvas.
b13014687,"Copley, John Singleton",1738,1815,None,,Baron Newhaven.,painting,oil on canvas.
b13014699,"Copley, John Singleton",1738,1815,None,,Nicholas Boylston.,painting,oil on canvas.
b11338842,"Copley, John Singleton",1738,1815,None,,Joseph Sherburne.,painting,oil on canvas.
b13014705,"Copley, John Singleton",1738,1815,None,,Portrait of an Officer.,painting,oil on canvas.
